Application,Hostname,IP Address,OS Type,OS Version,SQL Edition,CPU,RAM (GB),Storage (GB),,,Strategy,Disposition,cmdb:asset_status,cmdb:asset_type,Comments,Phases,current-status,Planned Date,Application,Owner,cmdb:department,cmdb:environment,
All Servers,esapp-prod-01,10.168.49.207,windows,Microsoft Windows Server 2012 (64-bit),,1,4,120,,,rehost,in_scope,Active,VM,Dev - ASI Enterprise Apps; check with Bryan/Murali,Phase 1,Migrate to AWS,,ASI Enterprise Apps,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,esapp-test-01,10.168.49.208,windows,Microsoft Windows Server 2012 (64-bit),,1,4,120,,,rehost,in_scope,Active,VM,Dev - ASI Enterprise Apps; check with Bryan/Murali,Phase 1,Migrate to AWS,,ASI Enterprise Apps,Murali Rajendran,Applications & Systems Integration,Test,
All Servers,esb02b-dev,10.168.70.210,windows,Microsoft Windows Server 2019 (64-bit),,4,24,400,,,rehost,decommission,Active,VM,RETAIN ESB builds,Phase 1,Migrate to AWS,,???,,Systems Architecture & Services,Dev,
All Servers,esb03b-dev,10.168.58.114,windows,Microsoft Windows Server 2019 (64-bit),,4,24,300,,,rehost,decommission,Active,VM,RETAIN ESB builds,Phase 1,Migrate to AWS,,???,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,esb-amq01-prod,10.168.51.166,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,100,,,HOLD,in_scope,Active,VM,Prod - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,esb-amq02-prod,10.168.51.167,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,100,,,HOLD,in_scope,Active,VM,Prod - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,esb-amq03-prod,10.168.51.168,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,100,,,HOLD,in_scope,Active,VM,Prod - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,esb-amq04-prod,10.168.51.169,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,100,,,HOLD,in_scope,Active,VM,Prod - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,esb-amq05-prod,10.168.51.170,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,100,,,HOLD,in_scope,Active,,Prod - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,,
All Servers,esb-amq1-test,10.168.51.163,linux,Red Hat Enterprise Linux 7 (64-bit),,4,8,100,,,HOLD,in_scope,Active,VM,Test - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Test,
All Servers,esb-amq2-test,10.168.51.164,linux,Red Hat Enterprise Linux 7 (64-bit),,4,8,100,,,HOLD,in_scope,Active,VM,Test - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Test,
All Servers,esb-amq3-test,10.168.51.165,linux,Red Hat Enterprise Linux 7 (64-bit),,4,8,100,,,HOLD,in_scope,Active,VM,Test - ActiveMQ App Server,Phase 1,Migrate to AWS,,ActiveMQ App Server,Murali Rajendran,Applications & Systems Integration,Test,
All Servers,esb-rtm01-qa.pbs.org,10.168.51.226,linux,Red Hat Enterprise Linux 7 (64-bit),,2,8,150,,,rehost,in_scope,,,Workstation,Phase 1,Migrate to AWS,,Workstation,,,,
All Servers,ESDEV-08,10.168.70.142,windows,Microsoft Windows Server 2016 or later (64-bit),,2,8,250,,,rehost,in_scope,Active,VM,Developer Workstation - Murali Rajendran,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ESDEV-10,10.168.70.133,windows,Microsoft Windows Server 2016 or later (64-bit),,2,8,200,,,rehost,in_scope,Active,VM,Developer Workstation - Murali Rajendran,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ESDEV-12,10.168.70.140,windows,Microsoft Windows Server 2016 or later (64-bit),,4,24,580,,,rehost,in_scope,Active,VM,.Net Developer Workstation,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ESDEV-BRIAN,10.168.58.143,windows,Microsoft Windows Server 2016 or later (64-bit),,4,16,600,,,rehost,in_scope,Active,VM,.Net Developer Workstation,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ESDEV-CHEX,10.168.58.140,windows,Microsoft Windows Server 2019 (64-bit),,4,16,160,,,rehost,in_scope,Active,VM,Developer Workstation - Chex Udeze,Phase 1,Migrate to AWS,,Work,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,faz01,10.169.13.20,n/a,FortiAnalyzer-VM64 v7.4.6-build2588 241218 (GA.M),,8,32,"5,636",,,HOLD,in_scope,Active,VM,Forti Analyzer,Phase 1,Migrate to AWS,,Forti Analyzer,Charles,Cybersecurity & Networking,Prod,
All Servers,fmg01,10.168.50.80,n/a,FortiManager-VM64 v7.4.7-build2685 250527 (GA.M),,4,16,504,,,HOLD,in_scope,Active,VM,FortiManager,Phase 1,Migrate to AWS,,FortiManager,Charles,Cybersecurity & Networking,Prod,
All Servers,FSSO1-PROD,10.168.70.26,windows,Microsoft Windows Server 2016 or later (64-bit),,4,8,80,,,HOLD,in_scope,Active,VM,Fortinet SSO Collector Agent,Phase 1,Migrate to AWS,,Fortinet SSO Collector Agent,Charles,Cybersecurity & Networking,Prod,
All Servers,FSSO2-PROD,10.68.70.40,windows,Microsoft Windows Server 2016 or later (64-bit),,4,8,80,,,HOLD,in_scope,Active,VM,Fortinet SSO Collector Agent,Phase 1,Migrate to AWS,,Fortinet SSO Collector Agent,Charles,Cybersecurity & Networking,Prod,
All Servers,i-amsi01-pat1-w,10.168.58.221,windows,Microsoft Windows Server 2019 (64-bit),,2,8,120,,,rehost,in_scope,Active,VM,AlertMedia AD Sync server. Used to synchronize AD user accounts into AlertMedia.&nbsp;,Phase 1,Migrate to AWS,,Alert Media,Sherri Ann,Facilities & Administration,Prod,
All Servers,iam-va1-dev,10.240.1.70,linux,Other 5.x Linux (64-bit),,1,8,128,,,HOLD,Stay on OnPremise,Active,VM,Stay on OnPremise; IAM Sailpoint IDN in isolated environment,Phase 1,Decommission after September,09/31/2026,SAIL POINT - Migrating to Azure Entra,Cyber,Cybersecurity & Networking,Dev,
All Servers,iam-va1-prod,10.168.50.70,linux,Linux 6.12.66-flatcar,,1,8,128,,,HOLD,Stay on OnPremise,Active,VM,Stay on OnPremise;IAM Sailpoint IDN in PROD,Phase 1,Decommission after September,09/31/2026,SAIL POINT - Migrating to Azure Entra,Cyber,Cybersecurity & Networking,Prod,
All Servers,iam-va2-dev,10.240.1.71,linux,Other 5.x Linux (64-bit),,1,8,128,,,HOLD,Stay on OnPremise,Active,VM,Stay on OnPremise; IAM Sailpoint IDN in isolated environment,Phase 1,Decommission after September,09/31/2026,SAIL POINT - Migrating to Azure Entra,Cyber,Cybersecurity & Networking,Dev,
All Servers,iam-va2-prod,10.168.50.71,linux,Linux 6.12.66-flatcar,,1,8,128,,,HOLD,Stay on OnPremise,Active,VM,Stay on OnPremise;IAM Sailpoint IDN in PROD,Phase 1,Decommission after September,09/31/2026,SAIL POINT - Migrating to Azure Entra,Cyber,Cybersecurity & Networking,Prod,
All Servers,i-ng-ws-bb-t1-w,10.168.58.115,windows,Microsoft Windows Server 2019 (64-bit),,4,24,80,,,rehost,in_scope,Active,VM,NexGen Developer Workstation - Bryan Boggio,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,i-ng-ws-jo-t1-w,10.168.58.139,windows,Microsoft Windows Server 2019 (64-bit),,4,24,250,,,rehost,in_scope,Active,VM,"NexGen Developer Workstation - Jeff Oh, check with Murali/Bryan",Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,i-ng-ws-kt-t1-w,10.168.58.105,windows,Microsoft Windows Server 2019 (64-bit),,4,24,250,,,rehost,in_scope,Active,VM,NexGen Developer Workstation - Kuang Tan,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,i-ng-ws-ld-t1-w,10.168.58.99,windows,Microsoft Windows Server 2019 (64-bit),,4,24,200,,,rehost,in_scope,Active,VM,NexGen Developer Workstation - Lalitha Duddey,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,i-ng-ws-mr-t1-w,10.168.58.26,windows,Microsoft Windows Server 2019 (64-bit),,4,24,80,,,rehost,in_scope,Active,VM,NexGen Developer Workstation - Murali Rajendran; check with Murali,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,i-ng-ws-sm-t1-w,10.168.58.90,windows,Microsoft Windows Server 2019 (64-bit),,2,10,150,,,rehost,Stay on OnPremise,Active,VM,"NexGen Workstation, Check with Sakthi",Phase 1,Migrate to AWS,,Onpremise Operations - Bare Minimum tools,,NEED DEVSECOPS,Server,
All Servers,i-ng-ws-zc-t1-l,10.168.18.127,linux,Ubuntu Linux (64-bit),,4,16,100,,,rehost,in_scope,Active,VM,NexGen Developer Workstation - Zhen Dong,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Workstation,
All Servers,nexus01-prod.pbs.org,10.168.51.75,linux,Red Hat Enterprise Linux 7 (64-bit),,4,8,250,,,rehost,decommission,,,Nexus,Phase 1,Migrate to AWS,,,,,,
All Servers,ofs-dev,10.168.70.35,windows,Microsoft Windows Server 2016 or later (64-bit),,2,16,160,,,HOLD,in_scope,Active,VM,Jumpbox for rightsline consultants - Move into Rightsline AWS Account,Phase 1,Migrate to AWS,,,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,OFSDev1,10.168.70.137,windows,Microsoft Windows Server 2016 or later (64-bit),,4,16,280,,,HOLD,in_scope,Active,VM,Jumpbox for rightsline consultants - Move into Rightsline AWS Account,Phase 1,Migrate to AWS,,Rightsline,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,OFSDev4,10.168.58.132,windows,Microsoft Windows Server 2016 or later (64-bit),,2,8,100,,,HOLD,in_scope,Active,VM,Jumpbox for rightsline consultants - Move into Rightsline AWS Account,Phase 1,Migrate to AWS,,,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,pbsd-budget-prd,10.168.58.185,windows,Microsoft Windows Server 2019 (64-bit),,8,16,130,,,rehost,in_scope,Active,VM,Prophix,Phase 1,Migrate to AWS,,Prophix application,,PBS Distribution,Prod,
All Servers,pbsd-budget-uat,10.168.58.95,windows,Microsoft Windows Server 2019 (64-bit),,8,16,100,,,rehost,in_scope,Active,VM,Prophix,Phase 1,Migrate to AWS,,Prophix application,,PBS Distribution,UAT,
All Servers,rl-dev-01,10.168.58.126,windows,Microsoft Windows Server 2019 (64-bit),,2,8,80,,,HOLD,in_scope,Active,VM,Jumpbox for rightsline consultants - Move into Rightsline AWS Account,Phase 1,Migrate to AWS,,Rightsline,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,s-cfdp-metabase-p-t1-l,10.168.70.28,linux,Ubuntu Linux (64-bit),,2,4,100,,,rehost,in_scope,Active,VM,metabase host (docker based) Repo: git@github.com:pbs-sdo/cfdp-metabase.git,Phase 1,Migrate to AWS,,,Murali Rajendran,Applications & Systems Integration,metabase,
All Servers,sched-dev-01,10.168.49.134,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,4,110,,,rehost,in_scope,Active,VM,Dev - ScheduAll App Server - Shannon using and the need to be checked. May be Retired,Phase 1,Migrate to AWS,,,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,sched-prod-01,10.168.49.145,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,4,600,,,rehost,in_scope,Active,VM,Prod - Schedulall App Server - Shannon using and the need to be checked. May be Retired,Phase 1,Migrate to AWS,,,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,sched-uat-01,10.168.49.69,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,6,170,,,rehost,in_scope,Active,VM,UAT - Scheduall App Server - Shannon using and the need to be checked. May be Retired,Phase 1,Migrate to AWS,,,Murali Rajendran,Applications & Systems Integration,UAT,
All Servers,SDO-AWS01-DEV,10.168.70.215,windows,Microsoft Windows Server 2019 (64-bit),,2,16,80,,,rehost,in_scope,Active,VM,AWS Connection server - REhosted,Phase 1,Migrate to AWS,,AWS connector,Poonam Singh,Information & Knowledge Management,Dev,
All Servers,s-emts01-dat1-w,10.168.58.190,windows,Microsoft Windows Server 2016 or later (64-bit),,4,16,280,,,rehost,in_scope,Active,VM,Dev server with ReadyAPI - Validate with Eric,Phase 1,Migrate to AWS,,Ready API,Poonam Singh,Information & Knowledge Management,,
All Servers,s-emts03-dat1-w,10.168.70.182,windows,Microsoft Windows Server 2019 (64-bit),,2,8,80,,,rehost,in_scope,Active,VM,Dev server with ReadyAPI - Validate with Eric,Phase 1,Migrate to AWS,,Ready API,Poonam Singh,Information & Knowledge Management,,
All Servers,s-ghsd01-dat1-w,10.168.70.58,windows,Microsoft Windows Server 2019 (64-bit),,4,16,160,,,rehost,in_scope,Active,VM,GitHub action runner (Windows) for metadata team,Phase 1,Migrate to AWS,,GitHub Runner Host - IKM Used,Poonam Singh,Applications & Systems Integration,,
All Servers,s-ghsd01-dat1-x,10.168.58.27,linux,Ubuntu Linux (64-bit),,4,24,100,,,rehost,in_scope,Active,VM,"From an operational perspective, all GitHub runners are considered production resources because they are used for software development.",Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,s-ghsd02-dat1-x,10.168.58.28,linux,Ubuntu Linux (64-bit),,2,16,100,,,rehost,in_scope,Active,VM,"From an operational perspective, all GitHub runners are considered production resources because they are used for software development.",Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,s-ghsd03-dat1-x,10.168.58.32,linux,Ubuntu Linux (64-bit),,2,16,100,,,rehost,in_scope,Active,VM,"From an operational perspective, all GitHub runners are considered production resources because they are used for software development.",Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,s-ghsd04-dat1-x,10.168.58.33,linux,Ubuntu Linux (64-bit),,8,32,150,,,rehost,in_scope,Active,VM,"From an operational perspective, all GitHub runners are considered production resources because they are used for software development.",Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,s-ghsd05-dat1-x,10.168.58.34,linux,Ubuntu Linux (64-bit),,8,32,150,,,rehost,in_scope,Active,VM,Build a managed GH Runner/ Github hosted Runner in aWS,Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,s-ghsd06-dat1-x,10.168.58.35,linux,Ubuntu Linux (64-bit),,4,24,100,,,rehost,in_scope,Active,VM,"From an operational perspective, all GitHub runners are considered production resources because they are used for software development.",Phase 1,Migrate to AWS,,GitHub Runner Host,Murali Rajendran,Systems Architecture & Services,,
All Servers,skyline-automatic,10.168.70.37,appliance,VMware Photon OS (64-bit),,2,8,87,,,rehost,decommission,Active,,,Phase 1,Migrate to AWS,,,,MOC Support,,
All Servers,s-mick8s1-dt1-x,10.168.44.63,linux,Ubuntu Linux (64-bit),,2,12,100,,,HOLD,in_scope,Active,,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,https://pbsus.sharepoint.com/:x:/s/SDO/IQC1OaDAyiluQrp_ArQJsHYWARcuM3-PsuOPhyq1XtBYa_k?e=TFsMID
All Servers,s-mick8s2-dt1-x,10.168.44.68,linux,Ubuntu Linux (64-bit),,2,12,100,,,HOLD,in_scope,Active,,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-mick8s3-dt1-x,10.168.44.67,linux,Ubuntu Linux (64-bit),,2,12,100,,,HOLD,in_scope,Active,,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen1-d-t1-l,10.168.15.80,linux,Ubuntu Linux (64-bit),,8,16,200,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen1-prd-t1-l,10.168.16.32,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen2-d-t1-l,10.168.15.81,linux,Ubuntu Linux (64-bit),,8,16,200,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen2-prd-t1-l,10.168.16.134,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen3-d-t1-l,10.168.15.82,linux,Ubuntu Linux (64-bit),,8,16,200,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen3-prd-t1-l,10.168.16.31,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen4-d-t1-l,10.168.15.91,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen4-prd-t1-l,10.168.16.136,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen5-d-t1-l,10.168.15.94,linux,Ubuntu Linux (64-bit),,8,16,115,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen5-prd-t1-l,10.168.16.33,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen6-d-t1-l,10.168.15.95,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-nexgen6-prd-t1-l,10.168.16.135,linux,Ubuntu Linux (64-bit),,8,16,100,,,HOLD,in_scope,Active,VM,"NexGen-Microk8s - Dependency with F800 Data, SQL Server, BroadView, Metadatabank, Polaris, File Transfer, SGL - Telestream,Vantage - Post Processing",Phase 1,Migrate to AWS,,Nexgen-Microk8s,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-ngdb01-ddt1-x,10.168.58.201,linux,Red Hat Enterprise Linux 8 (64-bit),,2,16,120,,,rehost,in_scope,Active,VM,Test - MongoDB Server - NexGen,Phase 1,Migrate to AWS,,Mongo DB,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-ngdb01-pdt1-x,10.168.58.205,linux,Red Hat Enterprise Linux 8 (64-bit),,2,16,200,,,rehost,in_scope,Active,VM,QA - MongoDB Server - NexGen,Phase 1,Migrate to AWS,,Mongo DB,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-ngdb01-udt1-x,10.168.58.203,linux,Red Hat Enterprise Linux 8 (64-bit),,2,16,100,,,rehost,in_scope,Active,VM,QA - MongoDB Server - NexGen,Phase 1,Migrate to AWS,,Mongo DB,Murali Rajendran,Applications & Systems Integration,,
All Servers,solutioncenter,10.168.70.160,windows,Microsoft Windows Server 2019 (64-bit),,4,8,"5,272",,,rehost,in_scope,Active,VM,File Server,Phase 1,Migrate to AWS,,File server,Sakthi Madhappan,,,
All Servers,s-sbap01-dat1-x,10.168.58.202,linux,Red Hat Enterprise Linux 8 (64-bit),,2,16,150,,,rehost,in_scope,Active,VM,Sonar Qube,Phase 1,Migrate to AWS,,SonarQube,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-si-d1-t1-w,10.168.58.21,windows,Microsoft Windows Server 2019 (64-bit),,4,16,120,,,rehost,in_scope,Active,VM,Used by Lalitha for .Net Development.,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,,
All Servers,s-sits01-dat1-x,10.168.58.197,linux,Red Hat Enterprise Linux 8 (64-bit),,2,8,100,,,rehost,in_scope,Active,VM,Linux DEV server - Murali Rajendran,Phase 1,Migrate to AWS,,Workstation,Murali Rajendran,Applications & Systems Integration,Linux,
All Servers,ssrs1-dev,10.168.70.192,windows,Microsoft Windows Server 2019 (64-bit),standard,4,64,390,,,rehost,in_scope,Active,VM,"This is a shared SSRS ( SQL Server) server used by Murali's team, PBSd and MOC - Report Server ( PBSd Uses this)",Phase 1,Migrate to AWS,,Shared VM,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ssrs1-prod,10.168.70.43,windows,Microsoft Windows Server 2019 (64-bit),standard,4,64,625,,,rehost,in_scope,Active,VM,"This is a shared SSRS ( SQL Server) server used by Murali's team, PBSd and MOC - Report Server ( PBSd Uses this)",Phase 1,Migrate to AWS,,Shared VM,Murali Rajendran,Applications & Systems Integration,Prod,
All Servers,ts-sched-dev,10.168.49.133,windows,Microsoft Windows Server 2008 R2 (64-bit),,1,4,70,,,HOLD,in_scope,Active,VM,Dev - ScheduAll Terminal Services,Phase 1,Migrate to AWS - Will be retired in next 6 months,,Schedule Terminal Servers,Murali Rajendran,Applications & Systems Integration,Dev,
All Servers,ts-sched-prod,10.168.49.144,windows,Microsoft Windows Server 2008 R2 (64-bit),,2,16,100,,,HOLD,in_scope,Active,VM,Prod - ScheduAll Terminal Services,Phase 1,Migrate to AWS - Will be retired in next 6 months,,Schedule Terminal Servers,Murali Rajendran,Applications & Systems Integration,Prod,
